data,data1

strongly agree,strongly agree

strongly agree,strongly agree

strongly agree,strongly agree

strongly agree,strongly agree

Agree with this,Agree with this

Agree with this,Agree with this

Agree with this,Agree with this

Agree with this,Agree with this

Neutral,Neutral

Neutral,Neutral

Neutral,Neutral

Neutral,Neutral

Disagree,Disagree

Disagree,Disagree

Disagree,Disagree

Disagree,Disagree

strongly disagree,strongly disagree

strongly disagree,strongly disagree

strongly disagree,strongly disagree

strongly disagree,strongly disagree

compromise,compromise

compromise,compromise

compromise,compromise

compromise,compromise

